"filename", "language", "JSON", "Java", "comment", "blank", "total"
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\deploy\paths\output\90Turn.wpilib.json", "JSON", 1, 0, 0, 0, 1
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\deploy\paths\output\Intake1.wpilib.json", "JSON", 1, 0, 0, 0, 1
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\deploy\paths\output\Intake2.wpilib.json", "JSON", 1, 0, 0, 0, 1
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\deploy\paths\output\Intake3.wpilib.json", "JSON", 1, 0, 0, 0, 1
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\deploy\paths\output\Line.wpilib.json", "JSON", 1, 0, 0, 0, 1
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\deploy\paths\output\Shoot1.wpilib.json", "JSON", 1, 0, 0, 0, 1
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\deploy\paths\output\Test.wpilib.json", "JSON", 1, 0, 0, 0, 1
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\deploy\paths\output\Test2.wpilib.json", "JSON", 1, 0, 0, 0, 1
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\deploy\paths\output\Test3.wpilib.json", "JSON", 1, 0, 0, 0, 1
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\deploy\paths\output\Test4.wpilib.json", "JSON", 1, 0, 0, 0, 1
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\deploy\paths\output\Test5.wpilib.json", "JSON", 1, 0, 0, 0, 1
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\lib\config\FeedbackConfig.java", "Java", 0, 29, 27, 8, 64
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\lib\config\FeedbackConstants.java", "Java", 0, 46, 35, 12, 93
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\lib\config\MotionMagicConfig.java", "Java", 0, 48, 25, 9, 82
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\lib\config\MotorConfig.java", "Java", 0, 45, 37, 12, 94
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\lib\controller\FieldOrientedController.java", "Java", 0, 49, 20, 10, 79
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\lib\controller\TakeBackHalfController.java", "Java", 0, 41, 28, 9, 78
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\lib\input\JoystickUtil.java", "Java", 0, 10, 7, 2, 19
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\lib\led\LEDStrip.java", "Java", 0, 83, 80, 21, 184
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\lib\logger\Logger.java", "Java", 0, 26, 0, 13, 39
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\lib\mechanisms\Piston.java", "Java", 0, 34, 25, 11, 70
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\lib\motion\EncoderUtil.java", "Java", 0, 33, 80, 18, 131
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\lib\motion\FollowTrajectory.java", "Java", 0, 56, 37, 11, 104
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\lib\motion\TrajectoryPointUtil.java", "Java", 0, 20, 4, 2, 26
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\lib\motion\WheelPositions.java", "Java", 0, 22, 19, 8, 49
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\lib\util\Util.java", "Java", 0, 67, 72, 15, 154
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\lib\vision\CameraPoint2d.java", "Java", 0, 100, 72, 28, 200
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\lib\vision\FOV.java", "Java", 0, 32, 20, 8, 60
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\lib\vision\Resolution.java", "Java", 0, 32, 20, 8, 60
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\lib\vision\VisionUtil.java", "Java", 0, 89, 76, 15, 180
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\robot\Constants.java", "Java", 0, 189, 64, 52, 305
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\robot\Main.java", "Java", 0, 9, 16, 5, 30
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\robot\Robot.java", "Java", 0, 54, 27, 22, 103
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\robot\RobotContainer.java", "Java", 0, 112, 56, 39, 207
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\robot\commands\Aim.java", "Java", 0, 40, 1, 11, 52
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\robot\commands\AutoTransport.java", "Java", 0, 60, 15, 11, 86
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\robot\commands\Climb.java", "Java", 0, 37, 6, 10, 53
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\robot\commands\Drive.java", "Java", 0, 62, 16, 16, 94
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\robot\commands\DriveClosedLoop.java", "Java", 0, 58, 16, 15, 89
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\robot\commands\DrivePower.java", "Java", 0, 30, 16, 10, 56
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\robot\commands\FollowTarget.java", "Java", 0, 54, 16, 11, 81
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\robot\commands\Intake.java", "Java", 0, 27, 1, 10, 38
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\robot\commands\SpinColorWheel.java", "Java", 0, 28, 1, 9, 38
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\robot\commands\SpinRoller.java", "Java", 0, 44, 1, 11, 56
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\robot\commands\TransportPower.java", "Java", 0, 26, 1, 8, 35
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\robot\enums\ClimbState.java", "Java", 0, 4, 0, 1, 5
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\robot\routines\Auto.java", "Java", 0, 41, 9, 5, 55
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\robot\routines\MoveForward.java", "Java", 0, 12, 0, 3, 15
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\robot\routines\Shoot.java", "Java", 0, 29, 0, 3, 32
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\robot\routines\SimpleAuto.java", "Java", 0, 36, 13, 5, 54
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\robot\subsystems\ClimbSubsystem.java", "Java", 0, 37, 0, 11, 48
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\robot\subsystems\ColorWheelSubsystem.java", "Java", 0, 50, 0, 12, 62
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\robot\subsystems\DriveSubsystem.java", "Java", 0, 187, 6, 53, 246
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\robot\subsystems\IntakeSubsystem.java", "Java", 0, 19, 0, 8, 27
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\robot\subsystems\PneumaticsSubsystem.java", "Java", 0, 13, 9, 9, 31
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\robot\subsystems\ShooterSubsystem.java", "Java", 0, 54, 2, 19, 75
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\robot\subsystems\SwerveDriveSubsystem.java", "Java", 0, 148, 43, 35, 226
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\robot\subsystems\TransportSubsystem.java", "Java", 0, 132, 0, 33, 165
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\main\java\frc\robot\subsystems\VisionSubsystem.java", "Java", 0, 114, 91, 32, 237
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\test\java\frc\lib\controller\FieldOrientedControllerTest.java", "Java", 0, 18, 0, 7, 25
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\test\java\frc\lib\input\JoystickUtilTest.java", "Java", 0, 14, 1, 7, 22
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\test\java\frc\lib\motion\EncoderUtilTest.java", "Java", 0, 144, 6, 22, 172
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\test\java\frc\lib\util\UtilTest.java", "Java", 0, 147, 8, 19, 174
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\test\java\frc\lib\vision\CameraPoint2dTest.java", "Java", 0, 222, 7, 14, 243
"c:\Users\Ben\Desktop\frc2508\InfiniteRecharge\src\test\java\frc\lib\vision\VisionUtilTest.java", "Java", 0, 160, 7, 19, 186
"Total", "-", 11, 3273, 1139, 777, 5200